arquivo_b,partition,cell_line,timepoint_h,group_key,lote,res,otsu_eta,lap_var,vignette,var_map_sigma2
B2 8H 2_png.rf.rH7jjspZ5cR0FGcre3t4.png,val,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B2,Migração (PET e PEP) n2 - RAW,nativo,0.61881,58.23,0.7748,1233.12
D4 8H 2_png.rf.ixTzZNh35XGijmR7VOtL.png,test,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||D4,Migração (PET e PEP) n3 - RAW,nativo,0.71822,43.83,0.6304,3805.05
D4 8H 2_png.rf.F1CeZbD8JhhIxg3FDoX3.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D4,Migração (PET e PEP) n2 - RAW,nativo,0.7218,138.27,0.8793,5520.19
D4 8H 2_png.rf.mnoVDerLhE6PpOQcbUog.png,test,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW,nativo,0.63434,46.62,0.7077,754.82
D2 8H 1_png.rf.dmlfRxJCAZ7ighrwgYDZ.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||D2,Migração (PET e PEP) n3 - RAW,nativo,0.70714,104.4,0.6469,4750.74
D2 8H 1_png.rf.sM0CFB6l073DrQDTlvwd.png,val,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D2,Migração (PET e PEP) n2 - RAW,nativo,0.72195,66.63,0.6991,5685.88
A7 0H 1_png.rf.SiNhL86Fl5NCzaMvqhnG.png,train,HUVEC,0,LUIS RAW||PEP+GB||A7,LUIS RAW,nativo,0.79713,428.76,0.7696,7394.96
D6 8HR 1_png.rf.Xkg7J2fPAbBTBVgUt0K6.png,train,HUVEC,8,originais||None||D6,originais,nativo,0.72643,45.72,0.6646,5953.35
B6 8H 2_png.rf.UXJImUaOFc4Vli6PQg2j.png,train,HUVEC,8,LUIS RAW||PEP+MET3||B6,LUIS RAW,nativo,0.67473,172.7,0.8208,2061.58
B6 8H 2_png.rf.QwHHdwx6U1gvnoHzE73s.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||B6,Migração (PET e PEP) n1 - RAW,nativo,0.69324,44.82,0.7435,3545.02
B4 12H 2_png.rf.M73w17SwMbnI1WYVdwjH.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||B4,Migração (PET e PEP) n3 - RAW,nativo,0.67819,58.16,0.5871,2605.17
B4 12H 2_png.rf.xN6KD3V9tK0oa8cV84Pz.png,val,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B4,Migração (PET e PEP) n2 - RAW,nativo,0.69006,62.58,0.9844,3158.69
B4 12H 2_png.rf.BUDIsAimJHwizKA26kde.png,test,HUVEC,12,LUIS RAW||PEP+MCC||B4,LUIS RAW,nativo,0.735,194.98,0.8821,4992.89
B4 12H 2_png.rf.nhpn6bL5wOSsBbHPHC5k.png,train,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP||B4,Migração (PET e PEP) n1 - RAW,nativo,0.64457,46.24,0.7261,2210.02
C1 8H 2_png.rf.LPqvMTKoFzKsz1D5axKz.png,val,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||C1,Migração (PET e PEP) n3 - RAW,nativo,0.74747,58.75,0.6718,5130.48
C1 8H 2_png.rf.8TQZveqFbURBQXdhXt39.png,train,HUVEC,8,LUIS RAW||PET||C1,LUIS RAW,nativo,0.83108,636.45,0.8236,8284.74
C1 8H 2_png.rf.8HPymGdz7fsuOzPsefJ9.png,val,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET||C1,Migração (PET e PEP) n2 - RAW,nativo,0.62487,91.02,0.7698,2137.57
A3 12H 2_png.rf.NvDDUGcSzZJ4EVcSGloI.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||A3,Migração (PET e PEP) n3 - RAW,nativo,0.67667,48.13,0.7613,2162.64
A3 12H 2_png.rf.qDuUdj7SXNoX4mT28S1W.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP||A3,Migração (PET e PEP) n2 - RAW,nativo,0.75034,140.89,0.7283,4741.04
A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,test,HUVEC,12,LUIS RAW||PEP+GB||A3,LUIS RAW,nativo,0.79659,317.52,0.8596,7028.47
D3 8H 2_png.rf.gO7JbZNsOHcLU5pzglpZ.png,val,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||D3,Migração (PET e PEP) n3 - RAW,nativo,0.69621,143.15,0.6583,3947.15
D3 8H 2_png.rf.RmIwn01JNbgfY0VcrlAP.png,test,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW,nativo,0.73092,66.92,0.7799,5402.36
D3 8H 2_png.rf.lKTVmjEr9xNW7FMHXCoW.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D3,Migração (PET e PEP) n1 - RAW,nativo,0.65925,123.58,0.8431,2296.83
C2 12H 2_png.rf.Xlk8npRnjTZqON9mMs58.png,val,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||C2,Migração (PET e PEP) n3 - RAW,nativo,0.67595,36.36,0.5758,1945.74
C2 12H 2_png.rf.StYrOErgWeP3G0WcahiB.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET||C2,Migração (PET e PEP) n2 - RAW,nativo,0.68207,88.62,0.775,2570.92
D1 12H 2_png.rf.hM6Jhc6UJKSMWKFN6Pta.png,test,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW,nativo,0.60679,23.28,0.749,557.3
D1 12H 2_png.rf.d9PBLeLwJNvcTiK3A1xg.png,train,HUVEC,12,LUIS RAW||PET||D1,LUIS RAW,nativo,0.79344,368.22,0.7773,7023.16
D1 12H 2_png.rf.rTaXrHPveh6L5jJcmCX5.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D1,Migração (PET e PEP) n2 - RAW,nativo,0.71281,135.24,0.7909,5173.32
C2 12H 1_png.rf.TFHg3V0muENuTMlz7u5s.png,val,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||C2,Migração (PET e PEP) n3 - RAW,nativo,0.6595,51.9,0.6208,1762.06
C2 12H 1_png.rf.1gfpN8zl57105NR6Uic2.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET||C2,Migração (PET e PEP) n2 - RAW,nativo,0.62866,80.45,0.781,1343.29
B8 8HR 1_png.rf.8IIu6eJhJrcV73IQECSg.png,train,HUVEC,8,Originais (1)||None||B8,Originais (1),nativo,0.66832,32.59,0.7066,3845.59
B8 8HR 1_png.rf.1XhLImMb5AZhR76Gahzd.png,train,HUVEC,8,originais||None||B8,originais,nativo,0.68115,34.9,0.8381,3107.1
C6 0HR 1_png.rf.8uY0nXqjLEENJtXvrgwH.png,train,HUVEC,0,Originais (1)||None||C6,Originais (1),nativo,0.70425,156.98,0.7651,5240.24
A1 8H 1_png.rf.rUhuaOllIpd124SZ1Xbk.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||A1,Migração (PET e PEP) n3 - RAW,nativo,0.61172,34.79,0.7495,1125.36
A1 8H 1_png.rf.liKAKGJsx7rWvR2CTGjM.png,train,HUVEC,8,LUIS RAW||PEP||A1,LUIS RAW,nativo,0.68168,310.16,0.8507,3586.87
A1 8H 1_png.rf.zdFJIxxlh5GeTF27Y5tG.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP||A1,Migração (PET e PEP) n2 - RAW,nativo,0.62292,101.42,0.7566,2350.9
C1 12H 2_png.rf.ui6o7P9dux3LHvZaQLOp.png,val,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||C1,Migração (PET e PEP) n3 - RAW,nativo,0.68343,48.78,0.8327,2819.18
C1 12H 2_png.rf.oH0a5HttFWqoBJ0RowWP.png,train,HUVEC,12,LUIS RAW||PET||C1,LUIS RAW,nativo,0.75149,205.66,0.8113,5567.11
C1 12H 2_png.rf.tZRHLbi5gUqvH0jNbPLY.png,val,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET||C1,Migração (PET e PEP) n2 - RAW,nativo,0.70736,80.78,0.8087,3681.66
D1 0HR 2_png.rf.Ak8bfHD2sNvAS5ARU8WU.png,test,HUVEC,0,Originais (1)||None||D1,Originais (1),nativo,0.79672,233.98,0.7909,8560.68
D1 0HR 2_png.rf.pBkydjxMgVt0vB999uLo.png,test,HUVEC,0,originais||None||D1,originais,nativo,0.70242,138.35,0.8222,4192.69
D1 12H 1_png.rf.mKsxEDejqQN6qCQxLyns.png,test,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW,nativo,0.64108,40.51,0.5563,1439.4
D1 12H 1_png.rf.vnjXHiF1GI01imDeAgku.png,train,HUVEC,12,LUIS RAW||PET||D1,LUIS RAW,nativo,0.76156,282.66,0.7862,5585.3
D1 12H 1_png.rf.aMJ1RYwhajSgp6IwJHpg.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D1,Migração (PET e PEP) n2 - RAW,nativo,0.67504,103.3,0.7939,3769.63
D3 12H 2_png.rf.mGax8cZwIT4dFQnOordS.png,val,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||D3,Migração (PET e PEP) n3 - RAW,nativo,0.58597,26.02,0.6886,418.88
D3 12H 2_png.rf.ogJD0ugl7j4sImIsr5p9.png,train,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D3,Migração (PET e PEP) n1 - RAW,nativo,0.60179,39.82,0.6754,744.5
D3 12H 2_png.rf.bk65RyMB9bMlU59S1RY7.png,test,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW,nativo,0.6311,71.2,0.7086,1831.77
A1 12H 2_png.rf.mPIf5FtesN7Js9gYPSKt.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||A1,Migração (PET e PEP) n3 - RAW,nativo,0.72108,79.63,0.6701,3715.1
A1 12H 2_png.rf.dAVbzvgvDzaa4i3J6C3M.png,train,HUVEC,12,LUIS RAW||PEP||A1,LUIS RAW,nativo,0.75867,379.21,0.8128,5911.19
A1 12H 2_png.rf.eHmr1uNqdPXHXXf5QmS1.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP||A1,Migração (PET e PEP) n2 - RAW,nativo,0.72264,88.6,0.906,4109.72
B2 12H 1_png.rf.q46PdRz1qnOtxZV3Argn.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||B2,Migração (PET e PEP) n3 - RAW,nativo,0.652,41.65,0.5692,828.07
B2 12H 1_png.rf.i2YOCT2Mj90ei2midq9S.png,train,HUVEC,12,LUIS RAW||PEP+MET3||B2,LUIS RAW,nativo,0.73975,343.87,0.8552,5444.85
B2 12H 1_png.rf.OrFcCcRPUkqBkLiAghoY.png,val,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B2,Migração (PET e PEP) n2 - RAW,nativo,0.60664,71.78,0.7348,1122.9
B1 8H 2_png.rf.qX8hsIWTYUCHB9jiGbcd.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||B1,Migração (PET e PEP) n3 - RAW,nativo,0.68227,42.22,0.6512,2447.8
B1 8H 2_png.rf.gA6SnVr547LgfEenVrRi.png,test,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW,nativo,0.62114,65.17,0.724,1539.43
B1 8H 2_png.rf.3TB3hGpWKxwD8uqIJQTc.png,train,HUVEC,8,LUIS RAW||PEP||B1,LUIS RAW,nativo,0.73655,287.17,0.7746,6022.48
D4 8H 1_png.rf.xpR4xGrS7xqp2WqsHOdj.png,test,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||D4,Migração (PET e PEP) n3 - RAW,nativo,0.72993,117.14,0.6019,6305.85
D4 8H 1_png.rf.qIcVbJAcG1YNBugruxMI.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D4,Migração (PET e PEP) n2 - RAW,nativo,0.72415,122.88,0.7729,6083.56
D4 8H 1_png.rf.a8mANb97avVu4hPsbo7a.png,test,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW,nativo,0.61633,67.39,0.6416,747.06
D3 12H 1_png.rf.zbujIQNM7Eu9wWrC5MDN.png,val,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||D3,Migração (PET e PEP) n3 - RAW,nativo,0.64446,46.0,0.6951,1254.34
D3 12H 1_png.rf.C7OjXDLYyYQ82eRjth4A.png,train,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D3,Migração (PET e PEP) n1 - RAW,nativo,0.62233,50.73,0.637,820.21
D3 12H 1_png.rf.vDKmMF3YJlFSbIbFZHci.png,test,HUVEC,12,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW,nativo,0.63166,68.06,0.7324,1270.97
A1 12H 1_png.rf.tw98uu5NmZJ60AaEheGe.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||A1,Migração (PET e PEP) n3 - RAW,nativo,0.6947,61.61,0.6912,2547.56
A1 12H 1_png.rf.kvLVGRHFKPu6WotnBRAH.png,train,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP||A1,Migração (PET e PEP) n2 - RAW,nativo,0.61936,104.22,0.8216,1931.86
Snap-27_187_png.rf.Un1xcBRJR9pLwxhz2VBA.png,train,SKOV,24,P1|PTX|F11,P1,nativo,0.84544,154.39,0.9394,10392.0
Snap-27_127_png.rf.u0sqqUf8hnanDrudhQQG.png,train,SKOV,48,P1|PTX|F11,P1,nativo,0.8441,383.64,0.9247,7023.89
Snap-27_282_png.rf.vCcp3UXdXcDmFuHR7aax.png,train,SKOV,72,P1|GEO|F7,P1,nativo,0.81751,402.03,0.922,2248.95
Snap-27_53_png.rf.YALqveujaUVhAWskGlbw.png,train,SKOV,48,P2|CARBO|F11,P2,nativo,0.81299,88.8,0.9498,7815.33
Snap-27_98_png.rf.lZ0XIyhITkksp9eS9PWL.png,train,SKOV,24,P2|CARBO|F12,P2,nativo,0.8023,119.29,0.9436,7432.54
Snap-27_png.rf.fKKLKbf92TUDKJORvts2.png,train,SKOV,0,P2|CARBO|F11,P2,nativo,0.90219,136.48,0.8016,12236.13
B8 8HR 2_png.rf.0BiUzebEwW7shJEaBWEc.png,train,HUVEC,8,Originais (1)||None||B8,Originais (1),nativo,0.70728,74.78,0.7977,4844.49
B8 8HR 2_png.rf.jxqMjN8g1DglrNrucNPX.png,train,HUVEC,8,originais||None||B8,originais,nativo,0.7007,40.11,0.8739,3935.46
C5 8HR 2_png.rf.4S1ZdP33ODrC9e0Lly20.png,train,HUVEC,8,Originais (1)||None||C5,Originais (1),nativo,0.65714,39.99,0.7997,3524.18
B5 8HR 2_png.rf.1bM2nfrE3C3SuMgkQzIF.png,test,HUVEC,8,Originais (1)||None||B5,Originais (1),nativo,0.67966,40.67,0.8129,3702.09
B5 8HR 2_png.rf.BzRPidTOrz4nL1zIlvSL.png,test,HUVEC,8,originais||None||B5,originais,nativo,0.66717,29.54,0.8475,2911.51
A3 8HR 2_png.rf.NH3fSomZbzpcrUv2Zpj9.png,train,HUVEC,8,Originais (1)||None||A3,Originais (1),nativo,0.68695,93.47,0.8864,2688.01
A3 8HR 2_png.rf.hdZJ4bXhrTGMuIig6P2Y.png,train,HUVEC,8,originais||None||A3,originais,nativo,0.68971,45.63,0.8472,3658.05
A3 8H 1_png.rf.v5rT2whdOcVMLHtShbvB.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||A3,Migração (PET e PEP) n3 - RAW,nativo,0.66036,45.16,0.5528,1805.01
A3 8H 1_png.rf.FFxw1ZoJmSoMVskuVwLP.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP||A3,Migração (PET e PEP) n2 - RAW,nativo,0.59981,67.21,0.7565,1435.47
A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,test,HUVEC,8,LUIS RAW||PEP+GB||A3,LUIS RAW,nativo,0.78679,260.53,0.8496,7064.86
D2 8H 2_png.rf.ybK76wkRwzDKiZ0L7MiW.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||D2,Migração (PET e PEP) n3 - RAW,nativo,0.69082,120.54,0.8392,3789.34
D2 8H 2_png.rf.NgKIr2nlQL2vytVPvMdS.png,val,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D2,Migração (PET e PEP) n2 - RAW,nativo,0.68701,58.88,0.8062,3690.18
B4 8H 1_png.rf.ukDlkARNqBsdv0bFwPQq.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||B4,Migração (PET e PEP) n3 - RAW,nativo,0.65365,90.35,0.5919,3318.36
B4 8H 1_png.rf.KtpKkXfpwTmEw7CHch9M.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP||B4,Migração (PET e PEP) n1 - RAW,nativo,0.6617,85.06,0.6704,2268.45
B4 8H 1_png.rf.hxk5CCjSUNevIOwm2e67.png,val,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B4,Migração (PET e PEP) n2 - RAW,nativo,0.67683,93.85,0.6872,4327.86
B4 8H 1_png.rf.OVZZyofXQpVrU06rEdEV.png,test,HUVEC,8,LUIS RAW||PEP+MCC||B4,LUIS RAW,nativo,0.75716,168.28,0.8058,5571.38
D3 8HR 1_png.rf.FaoUiRzagpKacKgSYTBM.png,train,HUVEC,8,Originais (1)||None||D3,Originais (1),nativo,0.79383,116.74,0.8464,7716.64
D3 8HR 1_png.rf.GI5XC8sWiPTRUqJb0YiP.png,train,HUVEC,8,originais||None||D3,originais,nativo,0.72355,56.78,0.7984,5684.1
C2 0HR 2_png.rf.J6kywh7upwXA9tcJN3CM.png,train,HUVEC,0,Originais (1)||None||C2,Originais (1),nativo,0.69383,79.13,0.7767,4855.05
B5 0HR 1_png.rf.J6hP1h51BcAFg4KFN6lN.png,test,HUVEC,0,Originais (1)||None||B5,Originais (1),nativo,0.68993,90.4,0.7592,4723.18
B5 0HR 1_png.rf.HyxAq2SZFEx1y342m6b9.png,test,HUVEC,0,originais||None||B5,originais,nativo,0.65357,59.79,0.8504,1826.09
A6 8HR 2_png.rf.WsRny9cGQOty4V3HiL8d.png,train,HUVEC,8,Originais (1)||None||A6,Originais (1),nativo,0.76022,102.07,0.8587,6598.93
A6 8HR 2_png.rf.IjykSzEw9bYxIHgxehIC.png,train,HUVEC,8,originais||None||A6,originais,nativo,0.7492,67.8,0.8565,6465.63
A6 12HR 2_png.rf.lDdi03mKpHO8MuNzUwbQ.png,train,HUVEC,12,Originais (1)||None||A6,Originais (1),nativo,0.68889,47.31,0.794,3209.4
A6 12HR 2_png.rf.GMb60emeHysjXcHliF6w.png,train,HUVEC,12,originais||None||A6,originais,nativo,0.80527,156.89,0.8536,8110.93
Snap-01_29_png.rf.mg28uhmxn5A9je1hvBDV.png,val,SKOV,48,P2|CT|F1,P2,nativo,0.77512,57.72,0.9392,5752.17
Snap-01_256_png.rf.UMEeIdDQ1Tdk0wE2TII4.png,train,SKOV,72,P1|CT|F1,P1,nativo,0.82122,150.0,0.9607,6123.9
Snap-01_74_png.rf.WcVEXB4f7Y64yyixQhom.png,val,SKOV,24,P2|CT|F1,P2,nativo,0.7302,66.08,0.9431,4600.68
Snap-01_148_png.rf.csd0SJGzDaEHVmJESnpM.png,train,SKOV,48,P1|CT|F1,P1,nativo,0.82584,158.32,0.9622,5827.77
C3 24HR 2_png.rf.nwCMqVszVo4q9siM9NBd.png,train,HUVEC,24,Originais (1)||None||C3,Originais (1),nativo,0.75439,57.87,0.7815,5845.87
75ug+ptx3_2_png.rf.SrbDSCvTa81lj9UBc0ZR.png,val,SKOV,0,P1|GEO+PTX|F12,P1,nativo,0.92943,204.19,1.023,13189.12
E8 12H 1_png.rf.dypWhfNRSbBs1ZJ05Vww.png,train,HUVEC,12,LUIS RAW||PEP+MCC||E8,LUIS RAW,nativo,0.81452,452.4,0.7901,6850.3
E7 8H 1_png.rf.gdYM2hFU7wl1MjzGuBEr.png,train,HUVEC,8,LUIS RAW||PEP+MCC||E7,LUIS RAW,nativo,0.7925,264.89,0.7991,8041.81
A6 24H 2_png.rf.fnzQMmHMSJJ6YxflXcKp.png,test,HUVEC,24,LUIS RAW||PEP+MET3||A6,LUIS RAW,nativo,0.80164,342.57,0.8067,6290.28
E7 0H 1_png.rf.eq57LnM2LtCIhSeyDrQF.png,train,HUVEC,0,LUIS RAW||PEP+MCC||E7,LUIS RAW,nativo,0.74016,357.78,0.722,5982.67
E6 24H 1_png.rf.Ukxe2UGpEbEFK0yZCv4y.png,train,HUVEC,24,LUIS RAW||PEP+GB||E6,LUIS RAW,nativo,0.81716,439.39,0.8301,7243.63
E6 24H 1_png.rf.SM4It4M2ifLy61R2HAsW.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PET + NEB 5uM||E6,Migração (PET e PEP) n1 - RAW,nativo,0.64741,101.9,0.8576,1360.11
A5 8H 1_png.rf.ytVoOCPRdcre6LH0ZiVo.png,val,HUVEC,8,LUIS RAW||PEP||A5,LUIS RAW,nativo,0.7559,278.67,0.8107,5203.1
B5 0H 2_png.rf.HYxIIkEiSgJIkbsyH67d.png,val,HUVEC,0,LUIS RAW||PEP||B5,LUIS RAW,nativo,0.75558,348.11,0.8637,4460.63
B5 0H 2_png.rf.WRwrrI9JRjNDFvDrJ455.png,train,HUVEC,0,Migração (PET e PEP) n1 - RAW||PEP||B5,Migração (PET e PEP) n1 - RAW,nativo,0.6719,60.95,0.8124,2955.48
A3 24HR 1_png.rf.zutG6W5yRQFxDl2XXgPv.png,train,HUVEC,24,originais||None||A3,originais,nativo,0.71574,58.69,0.7713,4864.34
A7 8HR 1_png.rf.GjVsnZRPmRuHeMhtZUsG.png,train,HUVEC,8,originais||None||A7,originais,nativo,0.7321,56.03,0.7598,4584.93
A7 8HR 1_png.rf.xk5ZqEQFoQIPE57EFSUg.png,train,HUVEC,8,Originais (1)||None||A7,Originais (1),nativo,0.73064,133.73,0.8271,6011.03
D7 8HR 1_png.rf.yiUSiqMky143n8J01psP.png,train,HUVEC,8,originais||None||D7,originais,nativo,0.77641,180.02,0.8329,6952.17
D4 8HR 1_png.rf.VEshHRtiysfYv1YrXVR9.png,test,HUVEC,8,originais||None||D4,originais,nativo,0.71985,52.56,0.7103,5484.7
E1 12H 2_png.rf.GKeGTBMimaglOZhGi5n6.png,test,HUVEC,12,LUIS RAW||PEP||E1,LUIS RAW,nativo,0.76264,223.36,0.8589,6117.54
A8 0HR 2_png.rf.NV2jswG9TWuajrNnrF1h.png,train,HUVEC,0,originais||None||A8,originais,nativo,0.70249,122.73,0.8351,3621.41
A8 0HR 2_png.rf.bBTZEJTn14rSmKt22Tgo.png,train,HUVEC,0,Originais (1)||None||A8,Originais (1),nativo,0.69005,238.75,0.765,4046.45
A5 0HR 1_png.rf.LrEs0i1uQ22QfDiczsil.png,train,HUVEC,0,Pré-Eclâmpsia||None||A5,Pré-Eclâmpsia,nativo,0.64191,99.17,0.8482,1889.1
A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,test,HUVEC,0,Originais (1)||None||A5,Originais (1),nativo,0.75648,196.98,0.8059,6834.68
A5 0hr 1_png.rf.P21lFbirAUEUdzrYW43W.png,train,HUVEC,0,Pré-Eclâmpsia||None||A5,Pré-Eclâmpsia,640,0.68837,64.43,0.9422,3848.12
D5 8HR 2_png.rf.P7QsrLpJ4DFTTJhgOjMR.png,train,HUVEC,8,originais||None||D5,originais,nativo,0.74669,270.64,0.8406,6788.17
D2 0HR 1_png.rf.Yseya69BivbK87V7yoaI.png,val,HUVEC,0,originais||None||D2,originais,nativo,0.73434,136.13,0.8376,6503.71
D2 0HR 1_png.rf.bPcALf4uyzKTnwN0fLop.png,val,HUVEC,0,Originais (1)||None||D2,Originais (1),nativo,0.69924,143.46,0.7274,4390.22
B4 12H 1_png.rf.um4DWqBv1Ipa6K71V8XD.png,train,HUVEC,12,Migração (PET e PEP) n3 - RAW||None||B4,Migração (PET e PEP) n3 - RAW,nativo,0.64274,40.18,0.4988,1746.13
B4 12H 1_png.rf.fWkPkc0DWac0jf1b3cMy.png,train,HUVEC,12,Migração (PET e PEP) n1 - RAW||PEP||B4,Migração (PET e PEP) n1 - RAW,nativo,0.63861,40.25,0.671,1623.57
B4 12H 1_png.rf.1ULnxID5MP426B41agfS.png,test,HUVEC,12,LUIS RAW||PEP+MCC||B4,LUIS RAW,nativo,0.76315,283.91,0.8278,5450.72
B4 12H 1_png.rf.JGwJLxV0CVH4bWwe6o5e.png,val,HUVEC,12,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B4,Migração (PET e PEP) n2 - RAW,nativo,0.63322,100.0,0.7525,1652.3
A4 12H 1_png.rf.f914DraQGTSAXxlM75wQ.png,train,HUVEC,12,LUIS RAW||PEP+MCC||A4,LUIS RAW,nativo,0.79975,233.05,0.9353,7895.61
D1 8HR 1_png.rf.Pm37sn4g0olAl9FUCP58.png,test,HUVEC,8,Originais (1)||None||D1,Originais (1),nativo,0.63235,36.17,0.8001,3093.92
D1 8HR 1_png.rf.7pXlMXWWJkv2xLuAp89c.png,test,HUVEC,8,originais||None||D1,originais,nativo,0.83693,133.55,0.7582,8275.54
C4 0HR 2_png.rf.JlOkG4pOgUprJJbRw5eR.png,train,HUVEC,0,Originais (1)||None||C4,Originais (1),nativo,0.63566,162.45,0.7972,2702.41
C3 8HR 2_png.rf.NDuVMEvWWQUYtYk3QJzS.png,train,HUVEC,8,Originais (1)||None||C3,Originais (1),nativo,0.65897,36.27,0.8277,3005.07
C3 0HR 1_png.rf.OA8x6g62ex8LdXxsap7v.png,train,HUVEC,0,Originais (1)||None||C3,Originais (1),nativo,0.67621,158.11,0.76,4550.33
C8 0HR 2_png.rf.ksYRDeDDBvRanUMEGDwa.png,train,HUVEC,0,Originais (1)||None||C8,Originais (1),nativo,0.8019,178.45,0.765,9586.52
A6 24HR 1_png.rf.CZ0i116BOFib9CK6D6Hv.png,train,HUVEC,24,originais||None||A6,originais,nativo,0.76104,99.95,0.7976,6076.68
A8 24HR 1_png.rf.F2SAC8rwjoPatolKRN77.png,train,HUVEC,24,originais||None||A8,originais,nativo,0.70621,89.42,0.691,3501.6
A6 24HR 2_png.rf.F3wCxWuKgUbiNXYsfCns.png,train,HUVEC,24,originais||None||A6,originais,nativo,0.80446,113.85,0.8961,7440.95
D5 24HR 2_png.rf.Gkher8iaMtSCl47ZU9Su.png,train,HUVEC,24,originais||None||D5,originais,nativo,0.74088,279.49,0.8635,5804.54
B4 0HR 2_png.rf.7USPOPdGDFudVKwE8pKs.png,val,HUVEC,0,originais||None||B4,originais,nativo,0.62813,46.75,0.833,1058.08
B4 0HR 2_png.rf.R9MSxxUNnkRnpGTFpH6a.png,val,HUVEC,0,Originais (1)||None||B4,Originais (1),nativo,0.72369,120.02,0.7698,6346.95
C6 8HR 2_png.rf.ZTn7cYhBLwnj3BXm8diw.png,train,HUVEC,8,Originais (1)||None||C6,Originais (1),nativo,0.65019,35.07,0.8315,3394.52
B4 8HR 1_png.rf.Zx3F3jtSvOWycP03uETm.png,val,HUVEC,8,Originais (1)||None||B4,Originais (1),nativo,0.64679,37.65,0.7559,2298.17
